"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.00420426715723828,0.017123075391264,0.245532245882842,0.0206545943670568,0.203551184909441
"b_temporal",0.175953915281355,0.0569494902889418,3.08964864107872,0.0468410403214708,3.75640494049193
"b_drtpattern",0.349429357346442,0.281803633923288,1.23997463227022,0.24454130842746,1.42891750924812
"b_waiting",-0.00758784289987113,0.00466438839335397,-1.6267605224905,0.00545710308863325,-1.39045254902295
"b_discount",0.00137832031859356,0.00557601424471697,0.247187374009932,0.00546363441372166,0.252271695765729
"b_compensation",0.0480088316503393,0.222320045240178,0.215944682803902,0.180183440263336,0.266444194761599
"b_price",-0.0135200611599553,0.00427033599434493,-3.16604154283397,0.00500988625771326,-2.69867627017274
