"b_spatial","b_temporal","b_drtpattern","b_waiting","b_discount","b_compensation","b_price","logLike"
0,0,0,0,0,0,0,-4158.88308336008
7.92194950994309e-05,0.000247314810889203,0.00713148503815983,3.08344583954867e-05,-7.35527853972354e-05,-0.00441078441316226,-0.000319175877948279,-4130.46815524423
0.0020070709208074,0.00875742337179073,0.0529346145138273,-0.000429924970766029,-0.000125721725023595,-0.0214731230490889,-0.0025408363554565,-3978.21099635646
0.00996020126266531,0.0478670019968446,0.118664649925834,-0.00370935144323301,0.00169194536366293,0.0077650090242981,-0.00742228480492957,-3793.82450708948
0.0146251890698707,0.0710415301236915,0.14422214133675,-0.00584549453479365,0.00304382948565728,0.0391574033023955,-0.0100707905326919,-3767.90633180596
0.0148991874447968,0.0718915695339812,0.147409369399945,-0.00593645818243186,0.00309908286912401,0.0397797933333145,-0.010203544458774,-3767.84798954235
0.0148975256305514,0.071885656737036,0.147377630273414,-0.00593656351845508,0.00309814862701891,0.0397801967791589,-0.0102038908555635,-3767.84798271648
0.0148975055865868,0.0718852875860391,0.147377340891883,-0.00593653500861676,0.0030981264377887,0.0397795850983937,-0.0102038892179856,-3767.84798270773
0.0148975055865868,0.0718852875860391,0.147377340891883,-0.00593653500861676,0.0030981264377887,0.0397795850983937,-0.0102038892179856,-3767.84798270773
0.0148975040646468,0.0718852888824046,0.147377342826338,-0.00593653523792761,0.00309812630161915,0.0397795947422054,-0.0102038891637472,-3767.84798270765
