"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0236902196341914,0.00641935105332782,3.69043840060909,0.00715542206525621,3.31080674461138
"b_temporal",0.077532571536235,0.0169460602441175,4.57525645603372,0.0181441579284028,4.27314245401632
"b_drtpattern",0.174555992127212,0.102050107703954,1.71049297305591,0.126995541341217,1.37450488642123
"b_waiting",-0.00329017940667873,0.00167164185609437,-1.96823224704717,0.00183035215258195,-1.79756633281607
"b_discount",0.00190969259281046,0.00187262801958637,1.01979281140537,0.00171269605167308,1.11502130862329
"b_compensation",0.0745643023321565,0.0709444326601127,1.05102401324972,0.069879933963427,1.06703452769691
"b_price",-0.0137368125098451,0.00160542245429007,-8.55650951756476,0.00208178521650127,-6.59857337873295
