"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0188349921283009,0.00488994336410307,3.8517812428193,0.0050252981226722,3.74803477694681
"b_temporal",0.08722679086232,0.0133952852879323,6.51175312711717,0.0126112215521121,6.91660125879808
"b_drtpattern",0.303306161041764,0.0775623875434576,3.91047994586066,0.0898649298135134,3.37513378880038
"b_waiting",-0.00826060811436605,0.00127796828989982,-6.4638600031411,0.0013120706056202,-6.295856395976
"b_discount",0.00405428717729889,0.00150214882256881,2.69899168203966,0.00135344972141736,2.9955210844871
"b_compensation",0.0461937593029432,0.0538198752900018,0.85830297922531,0.0484633320565891,0.953169279590685
"b_price",-0.0109464866853677,0.00113586018465356,-9.63717791438076,0.00121807141064482,-8.98673640125329
