"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0182003708568371,0.00623561932538661,2.91877517005237,0.00692326775272719,2.62886999418269
"b_temporal",0.10538083179219,0.0176539748135703,5.96924108621625,0.0180746460401972,5.8303123368407
"b_drtpattern",0.212383460220593,0.101300648530687,2.09656565186013,0.104952416760499,2.02361667102198
"b_waiting",-0.00876885481963122,0.00168228292652779,-5.21247328933548,0.00186423657500912,-4.70372426825085
"b_discount",0.00542612312504143,0.00192626940356843,2.81690770511616,0.00174765885973398,3.1047953637058
"b_compensation",0.123127263069863,0.0728957344642969,1.68908735160859,0.0665327911910806,1.85062524607218
"b_price",-0.012074190792551,0.00151667054258201,-7.96098457348269,0.00172117953036182,-7.01506762052461
