"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0194807699424545,0.00592663914684627,3.28698431940483,0.00618060986064009,3.15191710554547
"b_temporal",0.0344737203829218,0.0154086342710877,2.23729889206387,0.0146717652272915,2.34966412349592
"b_drtpattern",0.182070511028344,0.0958613209034801,1.89931151910233,0.106105263003785,1.71594231873162
"b_waiting",-0.00533922852540021,0.00157572519031605,-3.38842620414624,0.00149117862675157,-3.58054255178762
"b_discount",0.0024993171168834,0.00179882226493224,1.38941860216387,0.00178439102578922,1.40065550698338
"b_compensation",0.0413050113461158,0.067945105473022,0.607917392409027,0.0659333929477064,0.626465733059969
"b_price",-0.0120738513649583,0.00144575347897578,-8.35125181473668,0.00159048229109119,-7.59131455445175
