"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0107102687291609,0.00700633988324465,1.52865389170942,0.00736506736445524,1.45419833915573
"b_temporal",0.0579947588040463,0.0189737655508688,3.05657612604951,0.0182385884002827,3.17978329963011
"b_drtpattern",0.27160425022153,0.112283607373164,2.41891275650664,0.124147568457703,2.18775328100015
"b_waiting",-0.00820426257499659,0.00185623705455629,-4.41983557803598,0.00179670509541696,-4.56628224404999
"b_discount",0.00295278426583627,0.00223907793938576,1.31875010418186,0.00233821581069414,1.2628364979534
"b_compensation",0.231794996490398,0.0801320328786283,2.89266337272992,0.0817752267453363,2.83453810788262
"b_price",-0.0123994492595672,0.00170860338161901,-7.25706702500959,0.00170480185658717,-7.27324950501258
