"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0208658344593327,0.00414426847667747,5.03486552011738,0.00441641152386185,4.7246128098785
"b_temporal",0.0892245638643747,0.011761570534121,7.58610966159064,0.0125408082425191,7.11473791313244
"b_drtpattern",0.120842060960051,0.0654066780069763,1.84754928154526,0.0712678095400491,1.69560509492219
"b_waiting",-0.00793694452123895,0.00110033423040558,-7.21321240575551,0.00122577402958628,-6.47504705571043
"b_discount",0.0037320617130481,0.00126159170967615,2.9582167387626,0.00119006591431887,3.13601260917059
"b_compensation",0.121567696256483,0.0481529250432286,2.52461706422501,0.0471672452543149,2.57737537142604
"b_price",-0.0101234456821577,0.000993542398739505,-10.1892437554765,0.00117962539059377,-8.58191571907585
