"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0155314492027212,0.0121450569353091,1.27882885073737,0.0115897780408905,1.34009893441651
"b_temporal",0.0839863346726654,0.0352409219238535,2.38320481099042,0.0260710668346089,3.22143835560941
"b_drtpattern",0.137365857163303,0.196351383093206,0.69959200184547,0.169457529407219,0.810621148814242
"b_waiting",-0.00765024134366098,0.00331192254908603,-2.30990949524836,0.00366862568251303,-2.085315321246
"b_discount",0.00161871871394183,0.00366439108835773,0.441742891222699,0.00447728471249363,0.361540267793309
"b_compensation",0.0625661041336427,0.134435925352595,0.465397206658458,0.123153110455563,0.508035110946045
"b_price",-0.0105304675241265,0.00303091439708618,-3.47435332856979,0.00310590303798201,-3.39046885731771
