"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0177423439200735,0.0037102428563448,4.78198991468516,0.00386439759490873,4.59123148804582
"b_temporal",0.078110847877934,0.0101568121083144,7.6904886144337,0.0101962956878545,7.66070838559313
"b_drtpattern",0.177239051476179,0.0586931217109792,3.01975847100027,0.064126338797897,2.76390411176869
"b_waiting",-0.00686723565327121,0.000976852094745644,-7.02996460795769,0.000975581696757194,-7.03911899546466
"b_discount",0.00366467820617384,0.00111199125283731,3.29559985010962,0.00100664376660122,3.64049162947393
"b_compensation",0.0545249575663669,0.0419241722402529,1.30056133854959,0.0381380824066651,1.42967223640059
"b_price",-0.010972755292402,0.000913909837554956,-12.0063871089933,0.00100578949725147,-10.9095942266124
