"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0135006921644894,0.00273937417094216,4.92838558080078,0.00269719381554656,5.00545866843969
"b_temporal",0.0617912893447275,0.00739684998975052,8.35373022710328,0.00750497359917655,8.23337864259872
"b_drtpattern",0.106027109631409,0.0433032152964077,2.44848122490812,0.0445262855847532,2.38122511768003
"b_waiting",-0.00497758917410416,0.000708777518061482,-7.02278084061971,0.00075467337740109,-6.59568672111604
"b_discount",0.00285940325694815,0.000827541559141671,3.45529868000096,0.000839734982252359,3.4051258044277
"b_compensation",-0.0117143480696867,0.0310580943914222,-0.377175364401043,0.031095685501866,-0.376719402728192
"b_price",-0.00947875791183852,0.000636380533915632,-14.894795498404,0.000697137553343334,-13.5966824142241
