"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0201671027332627,0.00440271487001823,4.58060613250187,0.00459832929018293,4.3857456612161
"b_temporal",0.0787656695182121,0.0124075121559342,6.34822424740002,0.0120007847214649,6.5633765913099
"b_drtpattern",0.132196025853283,0.069611616854188,1.89905121914043,0.0723138186304387,1.82808802462601
"b_waiting",-0.00745873079158513,0.00117041470106506,-6.37272479984899,0.00125710309635542,-5.93326896832042
"b_discount",0.00221741819500398,0.00131322418721435,1.68852981584784,0.00132444527161457,1.67422410161262
"b_compensation",0.0732527879230132,0.0506440863393965,1.44642332832509,0.0457503989116982,1.6011398734336
"b_price",-0.00978686770789939,0.00107680428882059,-9.08880825374389,0.00122532494035006,-7.98716110773309
