"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0174229967258611,0.00444798150547392,3.91705691770963,0.00449130374824437,3.87927374822326
"b_temporal",0.0843139464555976,0.0124295532932689,6.78334486093374,0.0127404867206009,6.61779634519495
"b_drtpattern",0.167084690857647,0.0698123424238833,2.39334027560844,0.081095222128826,2.06035184899328
"b_waiting",-0.00714585975927333,0.00115674193403098,-6.17757474596917,0.00122912722434573,-5.81376737715425
"b_discount",0.00478471018678944,0.00136522958687954,3.50469271452409,0.00128410763448585,3.72609745343133
"b_compensation",0.101463455130088,0.0495060116639773,2.04951786095743,0.0458389931918596,2.21347477474935
"b_price",-0.0100354607117878,0.00102483754961775,-9.79224533247332,0.00108141395088835,-9.2799438212758
