"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.013920815561021,0.00409790915518232,3.39705323711639,0.00425807680835981,3.26927300458519
"b_temporal",0.0719172856349614,0.0111587602031753,6.4449172063485,0.0115343436065433,6.23505663505319
"b_drtpattern",0.0973438869119912,0.0648945209620537,1.50003244447882,0.0696048122667798,1.3985223685238
"b_waiting",-0.00543889652716526,0.00107476081459936,-5.06056459566094,0.00111748516369584,-4.86708611788393
"b_discount",0.00199132836480489,0.00124681281234633,1.59713498697329,0.00115635136039876,1.72207897443748
"b_compensation",0.0790997530540299,0.0471733489712424,1.67678900860421,0.0438359609371869,1.80444893559817
"b_price",-0.00950287759447824,0.000939537953879501,-10.1144158735039,0.00107323662779968,-8.85441043319658
