"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0190705124743519,0.0102342329866839,1.86340417490642,0.0108865262322243,1.75175368777441
"b_temporal",0.113479781490901,0.0292766279280024,3.8761219963574,0.0302658059742271,3.7494386102764
"b_drtpattern",0.202773967172217,0.164394083818226,1.23346267981534,0.179147940656818,1.13187997823909
"b_waiting",-0.00476599555090186,0.00266677873920248,-1.78717322170011,0.00285631345414322,-1.66858281747354
"b_discount",0.00187613357511016,0.00315020152354346,0.595559858976837,0.00321338829910698,0.583849009356121
"b_compensation",0.159676362473578,0.118766002207448,1.34446187886893,0.106497376028718,1.49934550904352
"b_price",-0.0114804438499454,0.00238193182723599,-4.8198037066692,0.00248058293564647,-4.62812336768472
