"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial",0.0204902740714555,0.00594970134062072,3.44391640830123,0.00588084069882949,3.484242325342
"b_temporal",0.105325308308066,0.0167063734460207,6.30449861834937,0.0181469293268166,5.80402923333271
"b_drtpattern",-0.0930539969255073,0.0932402161240429,-0.998002801727874,0.103053817097107,-0.902965067638622
"b_waiting",-0.00566892873254039,0.00153318149212589,-3.69749358549843,0.00166354126810864,-3.40774758114998
"b_discount",0.0037254195293708,0.00177716709055689,2.09626857776406,0.00194249920732747,1.91784867418109
"b_compensation",-0.0243052627691738,0.0660159395697339,-0.368172640237888,0.0628713198964841,-0.386587442560324
"b_price",-0.00815705146485846,0.00135276754080404,-6.02989886940235,0.00145705400242623,-5.59831787378893
