"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial_1",0.0110078399288514,0.00748117917565268,1.4714043963385,0.00770570986960805,1.42853028664721
"b_temporal_1",0.0530041983484862,0.020569065633152,2.57688896976717,0.0221011294795766,2.3982574464109
"b_drtpattern_1",-0.100537333749152,0.13379926581848,-0.751404225831459,0.147740281493801,-0.680500488645477
"b_waiting_1",-0.00632593294000261,0.00215421526385375,-2.93653705186637,0.00248363871446131,-2.54704233074201
"b_discount_1",0.00339904092142566,0.00225413308964963,1.50791492172008,0.00222049752958655,1.53075645261292
"b_compensation_1",0.0163386807098765,0.0797725044440995,0.204815942833108,0.0781855121916788,0.208973251589383
"b_price_1",-0.0307734569227715,0.00370378586283859,-8.30864905866526,0.00454062718285003,-6.77735821143894
"b_spatial_2",0.015018887278443,0.00299013190655224,5.02281763742005,0.00309700325485432,4.84949031128787
"b_temporal_2",0.0824552891990341,0.00833337147252424,9.89458941928793,0.00932218141646689,8.8450637801774
"b_drtpattern_2",0.264516713631975,0.0489621518668967,5.40247320728595,0.0558832645514867,4.73337976503268
"b_waiting_2",-0.00787359603219423,0.000807685940613644,-9.74833860078364,0.000924976633334494,-8.51221073964897
"b_discount_2",0.00439336792717342,0.000902949561865655,4.86557401733042,0.000925948453452176,4.74472192355179
"b_compensation_2",0.0146817371008642,0.0321282574883507,0.456972716500034,0.0313996768880445,0.467576056696758
"b_price_2",-0.00509481405343584,0.000762976336311612,-6.67755185968839,0.000862166906833434,-5.90931293355723
"delta_1",0,NA,NA,NA,NA
"delta_2",0.530272826832071,0.160573622191014,3.30236572854584,0.193867900699972,2.73522756948153
