"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial_1",0.0133073626789831,0.00700106269247632,1.9007632503111,0.00795380235648888,1.67308188996256
"b_temporal_1",0.0418524255620663,0.0173324634610675,2.41468419397369,0.019215129190534,2.17809753694938
"b_drtpattern_1",0.0619786968801195,0.116185275351716,0.533447088647829,0.129501419695544,0.478594729122123
"b_waiting_1",-0.00622850295393816,0.00190386709052909,-3.271500928254,0.00227076674892869,-2.74290741524934
"b_discount_1",0.00193514937970597,0.00194637283383681,0.994233656606934,0.00198303675713034,0.975851492791455
"b_compensation_1",-0.0218326527303811,0.070906321378363,-0.307908410787242,0.0737178975060559,-0.296164886262357
"b_price_1",-0.0306611663228023,0.00338762516775926,-9.05093238018509,0.00493728427968847,-6.21012779210211
"b_spatial_2",0.0145474356259513,0.00248623423706967,5.85119270302434,0.00257419033055382,5.65126651797405
"b_temporal_2",0.0844905276617631,0.00703697156977219,12.0066603686021,0.00797727365723859,10.5914039422599
"b_drtpattern_2",0.204736045974046,0.0397213416532022,5.15430842597284,0.0447558340915253,4.57451079015448
"b_waiting_2",-0.00799870023532458,0.000686044986911843,-11.6591482889917,0.000796506538167278,-10.0422279693136
"b_discount_2",0.0048906321335604,0.000765735084256916,6.38684609613567,0.000811715628594363,6.0250560187309
"b_compensation_2",0.0336020809864993,0.0269486017586956,1.24689515572572,0.0268594204669164,1.25103521976165
"b_price_2",-0.00581130553067026,0.000643366154787305,-9.03265657888307,0.000790584352484732,-7.35064577537598
"delta_1",0,NA,NA,NA,NA
"delta_2",0.727368180903552,0.42394002653639,1.71573367781803,0.499339142134218,1.45666165443133
"gamma_framing",-0.0944903263257138,0.161321136651158,-0.585728121480078,0.165648486703362,-0.570426740420056
"gamma_notbought",-0.505828907908914,0.186401827805573,-2.71364778910066,0.202095983993391,-2.50291419905432
"gamma_hascar",0.125099418159335,0.198353828586451,0.630688195185564,0.202803244724288,0.616851166900256
"gamma_lowinc",-0.493568633854489,0.189731903914487,-2.60140031102487,0.196875995826287,-2.50700260223693
"gamma_noincinf",-0.24920586764938,0.238955785988889,-1.0428953064186,0.262318629197125,-0.950012084205078
"gamma_highptuse",0.303416027460762,0.187635503279069,1.61705019656911,0.189030431597929,1.60511736071223
"gamma_travelnight",0.467532788802701,0.166519999194524,2.80766749377979,0.175758342511475,2.66008874527351
"gamma_travelrural",0.198254634449203,0.174995253521687,1.13291435315778,0.179416486090733,1.10499675235498
