"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial_1",0.0112316856241539,NA,NA,NA,NA
"b_temporal_1",0.050910671521109,NA,NA,NA,NA
"b_drtpattern_1",-0.0672027322370789,NA,NA,NA,NA
"b_waiting_1",-0.00581429524783015,NA,NA,NA,NA
"b_discount_1",0.00373431322604046,NA,NA,NA,NA
"b_compensation_1",0.0112882429181634,NA,NA,NA,NA
"b_price_1",-0.0300649726792654,NA,NA,NA,NA
"b_spatial_2",0.0152461894647221,NA,NA,NA,NA
"b_temporal_2",0.0839911105365159,NA,NA,NA,NA
"b_drtpattern_2",0.261956304802555,NA,NA,NA,NA
"b_waiting_2",-0.00808797423520731,NA,NA,NA,NA
"b_discount_2",0.00441151872045006,NA,NA,NA,NA
"b_compensation_2",0.0181027238071456,NA,NA,NA,NA
"b_price_2",-0.00516760125464265,NA,NA,NA,NA
"delta_1",0,NA,NA,NA,NA
"delta_2",-0.0917372733581441,NA,NA,NA,NA
"gamma_framing",-0.1215031129701,NA,NA,NA,NA
"gamma_notbought",-0.301421077948459,NA,NA,NA,NA
"gamma_hascar",0.78985192567383,NA,NA,NA,NA
"gamma_lowinc",-0.68574514465435,NA,NA,NA,NA
"gamma_noincinf",-0.118763390911243,NA,NA,NA,NA
"gamma_highptuse",0.472281815479181,NA,NA,NA,NA
"gamma_travelnight",0.531273620322232,NA,NA,NA,NA
"gamma_travelrural",0.135887805142727,NA,NA,NA,NA
