RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a1_x5,a1_x6,a1_x7,a1_x8,a2_x1,a3_x2,a2_x3,a2_x4,a2_x5,a2_x6,a2_x7,a2_x8
,,,,,,,,,,,,,,,,,,,,
1499,13,4,4,2,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1499,28,5,5,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1498,24,1,1,2,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1498,11,2,2,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1498,16,3,3,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1498,10,4,4,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1498,23,5,5,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1504,9,1,1,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1504,26,2,2,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1504,21,3,3,2,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
1504,22,4,4,1,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1504,17,5,5,1,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1497,22,1,1,1,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1497,5,2,2,2,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1497,27,3,3,2,1,75,24,2,30,50,3,300,1,95,17,1,60,25,1,100
,,,,,,,,,,,,,,,,,,,,
1497,2,4,4,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1497,29,5,5,1,1,85,24,1,60,25,3,100,1,95,17,2,120,50,1,150
,,,,,,,,,,,,,,,,,,,,
1508,7,1,1,2,1,85,14,1,120,50,2,300,1,75,17,2,60,75,3,250
,,,,,,,,,,,,,,,,,,,,
1508,18,2,2,1,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1508,19,3,3,2,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1508,11,4,4,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1508,28,5,5,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1503,3,1,1,2,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
1503,6,2,2,1,1,75,24,2,60,0,2,100,1,85,14,1,120,75,1,250
,,,,,,,,,,,,,,,,,,,,
1503,20,3,3,1,1,75,24,2,120,0,1,200,1,85,14,1,60,50,3,250
,,,,,,,,,,,,,,,,,,,,
1503,8,4,4,1,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1503,14,5,5,2,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1491,13,1,1,,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1510,24,1,1,2,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1510,1,2,2,2,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1510,27,3,3,2,1,75,24,2,30,50,3,300,1,95,17,1,60,25,1,100
,,,,,,,,,,,,,,,,,,,,
1510,25,4,4,1,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1510,21,5,5,2,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
1507,1,1,1,1,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1507,13,2,2,2,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1507,27,3,3,2,1,75,24,2,30,50,3,300,1,95,17,1,60,25,1,100
,,,,,,,,,,,,,,,,,,,,
1507,15,4,4,2,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1507,26,5,5,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1513,15,1,1,2,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1513,1,2,2,2,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1513,29,3,3,1,1,85,24,1,60,25,3,100,1,95,17,2,120,50,1,150
,,,,,,,,,,,,,,,,,,,,
1513,27,4,4,2,1,75,24,2,30,50,3,300,1,95,17,1,60,25,1,100
,,,,,,,,,,,,,,,,,,,,
1513,13,5,5,2,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1517,12,1,1,1,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1517,26,2,2,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1517,19,3,3,1,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1517,7,4,4,2,1,85,14,1,120,50,2,300,1,75,17,2,60,75,3,250
,,,,,,,,,,,,,,,,,,,,
1517,30,5,5,2,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1502,30,1,1,1,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1502,26,2,2,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1502,2,3,3,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1502,12,4,4,2,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1502,25,5,5,1,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1516,2,1,1,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1516,24,2,2,2,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1516,27,3,3,2,1,75,24,2,30,50,3,300,1,95,17,1,60,25,1,100
,,,,,,,,,,,,,,,,,,,,
1516,1,4,4,2,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1516,23,5,5,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1511,16,1,1,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1511,5,2,2,2,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1511,25,3,3,2,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1511,21,4,4,2,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
1511,11,5,5,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1518,28,1,1,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1518,26,2,2,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1518,13,3,3,2,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1518,2,4,4,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1518,15,5,5,2,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1519,16,1,1,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1519,29,2,2,1,1,85,24,1,60,25,3,100,1,95,17,2,120,50,1,150
,,,,,,,,,,,,,,,,,,,,
1519,21,3,3,2,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
1519,25,4,4,1,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1519,20,5,5,1,1,75,24,2,120,0,1,200,1,85,14,1,60,50,3,250
,,,,,,,,,,,,,,,,,,,,
1520,3,1,1,2,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
1520,8,2,2,2,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1520,4,3,3,1,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1520,6,4,4,2,1,75,24,2,60,0,2,100,1,85,14,1,120,75,1,250
,,,,,,,,,,,,,,,,,,,,
1520,7,5,5,2,1,85,14,1,120,50,2,300,1,75,17,2,60,75,3,250
,,,,,,,,,,,,,,,,,,,,
1521,5,1,1,2,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1521,18,2,2,2,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1521,17,3,3,1,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1521,19,4,4,1,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1521,30,5,5,1,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1522,1,1,1,1,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1522,13,2,2,1,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1522,12,3,3,1,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1522,14,4,4,1,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1522,11,5,5,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1512,12,1,1,1,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1512,10,2,2,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1512,9,3,3,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1512,24,4,4,1,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1512,22,5,5,2,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1523,10,1,1,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1523,22,2,2,2,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1523,9,3,3,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1523,28,4,4,1,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1523,2,5,5,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1527,8,1,1,1,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1527,16,2,2,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1527,23,3,3,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1527,20,4,4,1,1,75,24,2,120,0,1,200,1,85,14,1,60,50,3,250
,,,,,,,,,,,,,,,,,,,,
1527,6,5,5,1,1,75,24,2,60,0,2,100,1,85,14,1,120,75,1,250
,,,,,,,,,,,,,,,,,,,,
1529,30,1,1,1,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1529,19,2,2,1,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1529,3,3,3,2,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
1529,18,4,4,1,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1529,17,5,5,1,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1530,4,1,1,2,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1530,26,2,2,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1530,28,3,3,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1530,25,4,4,2,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1530,22,5,5,1,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1531,24,1,1,1,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1531,21,2,2,1,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
