"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial_1",0.0121509240486495,0.0150021968136914,0.809942983654248,0.0245279398215764,0.495391139127008
"b_temporal_1",0.0314689105762984,0.0469663184400596,0.670031452783771,0.0757889709894941,0.415217546371762
"b_drtpattern_1",-0.495089001255619,0.344005703522098,-1.43918835120074,0.557312971230096,-0.888350041742009
"b_waiting_1",-0.00012154998068129,0.00480837308749301,-0.025278816445723,0.00775201504949173,-0.01567979162905
"b_discount_1",0.00511208100863176,0.00366978189922129,1.39302038895459,0.00424252923501661,1.20496070278977
"b_compensation_1",0.0893133763002031,0.115550045608893,0.772941073537138,0.0980259110253852,0.91112008412831
"b_price_1",-0.0339113594498335,0.00505136844308577,-6.71330152055148,0.00531189700878897,-6.38403933542468
"b_spatial_2",0.0131546239695407,0.0038418637574338,3.42402146460483,0.0042560822334405,3.09078237872929
"b_temporal_2",0.0864411915750674,0.0106577526042135,8.11063971787945,0.0119724126677044,7.22003108097357
"b_drtpattern_2",0.294124645390516,0.062519147701991,4.70455302417932,0.0729091096149037,4.03412751772781
"b_waiting_2",-0.00987841857103152,0.00101495917109352,-9.73282359761177,0.00102528348154062,-9.63481685688323
"b_discount_2",0.00447828346952563,0.00115071621863277,3.89173577030705,0.00118261465512259,3.78676473365826
"b_compensation_2",0.0612051978910648,0.0415038364949497,1.47468771708641,0.0394252215679668,1.55243763907707
"b_price_2",-0.00681870206071862,0.000951733115663391,-7.16451066848268,0.00117745762830829,-5.79103816288947
"delta_1",0,NA,NA,NA,NA
"delta_2",1.20693405822754,0.814546341180217,1.4817254675514,1.02904324054656,1.17287010950725
"gamma_framing",0.0603583693272639,0.28110765078252,0.214716209819421,0.312995580861662,0.192840963316799
"gamma_notbought",-0.882613547828578,0.348838760701384,-2.53014758467199,0.399977499615398,-2.20665799620545
"gamma_hascar",-0.208873502446269,0.426271240851896,-0.490001394484974,0.445330593636335,-0.46903021133293
"gamma_lowinc",-0.976593635577684,0.324266129002287,-3.0117041165616,0.354974418344229,-2.75116623933912
"gamma_noincinf",0.373457535351157,0.433877177846296,0.860744824618216,0.463097408867776,0.806434085356299
"gamma_highptuse",0.181526219017222,0.395804037504169,0.458626496490222,0.436747521109074,0.415631938920352
"gamma_travelnight",0.670565228472858,0.290922021549488,2.30496551928706,0.335575061655244,1.9982570372341
"gamma_travelrural",0.327938861798695,0.311213979836855,1.0537407798024,0.330786486890093,0.991391349996884
